Date,Clicks,Impressions,CTR,Position
2025-12-25,1,329,0.3%,49.8
2025-12-26,0,428,0%,40.3
2025-12-27,1,311,0.32%,45.9
2025-12-28,0,282,0%,45
2025-12-29,0,333,0%,42.8
2025-12-30,1,333,0.3%,45.8
2025-12-31,2,398,0.5%,41.1
2026-01-01,0,335,0%,46.1
2026-01-02,0,410,0%,43.3
2026-01-03,0,254,0%,44
2026-01-04,0,245,0%,48.2
2026-01-05,1,341,0.29%,41.7
2026-01-06,2,334,0.6%,44.7
2026-01-07,1,403,0.25%,42.2
2026-01-08,0,377,0%,48.4
2026-01-09,0,544,0%,46.9
2026-01-10,1,310,0.32%,44.6
2026-01-11,0,330,0%,46.7
2026-01-12,0,375,0%,41.1
2026-01-13,1,408,0.25%,43.9
2026-01-14,2,491,0.41%,44
2026-01-15,0,360,0%,41.9
2026-01-16,2,487,0.41%,40.9
2026-01-17,0,418,0%,44.3
2026-01-18,1,378,0.26%,46.9
2026-01-19,0,554,0%,42
2026-01-20,1,413,0.24%,41.1
2026-01-21,2,539,0.37%,41.2
2026-01-22,1,513,0.19%,41.8
2026-01-23,0,524,0%,36.6
2026-01-24,0,379,0%,42.9
2026-01-25,0,420,0%,45
2026-01-26,2,494,0.4%,39.5
2026-01-27,3,473,0.63%,39.5
2026-01-28,1,540,0.19%,43.6
2026-01-29,0,411,0%,42.3
2026-01-30,1,611,0.16%,42.9
2026-01-31,0,402,0%,38.9
2026-02-01,0,426,0%,40.6
2026-02-02,1,389,0.26%,36.3
2026-02-03,0,239,0%,23.9
2026-02-04,0,360,0%,37.7
2026-02-05,0,438,0%,44
2026-02-06,2,418,0.48%,40.4
2026-02-07,0,372,0%,36
2026-02-08,4,334,1.2%,41.8
2026-02-09,0,438,0%,42
2026-02-10,1,371,0.27%,41.4
2026-02-11,1,485,0.21%,41.5
2026-02-12,0,426,0%,45.7
2026-02-13,0,487,0%,42.7
2026-02-14,0,574,0%,44.6
2026-02-15,0,422,0%,46.8
2026-02-16,2,757,0.26%,51.1
2026-02-17,1,583,0.17%,46.8
2026-02-18,0,616,0%,44.1
2026-02-19,0,482,0%,40.1
2026-02-20,0,451,0%,39.5
2026-02-21,0,387,0%,43.9
2026-02-22,0,408,0%,44.6
2026-02-23,1,369,0.27%,37.2
2026-02-24,1,369,0.27%,41.9
2026-02-25,0,426,0%,39.4
2026-02-26,0,403,0%,41.3
2026-02-27,0,506,0%,38.7
2026-02-28,0,408,0%,47.1
2026-03-01,0,391,0%,44.5
2026-03-02,0,489,0%,39.5
2026-03-03,3,342,0.88%,40.2
2026-03-04,1,229,0.44%,31.8
2026-03-05,0,196,0%,29.1
2026-03-06,4,289,1.38%,24.2
2026-03-07,0,170,0%,29.1
2026-03-08,2,149,1.34%,28.4
2026-03-09,1,201,0.5%,26.7
2026-03-10,0,192,0%,28.2
2026-03-11,0,252,0%,26.2
2026-03-12,0,248,0%,29
2026-03-13,1,275,0.36%,27.1
2026-03-14,0,182,0%,27.3
2026-03-15,0,151,0%,29.6
2026-03-16,2,217,0.92%,25.5
2026-03-17,3,227,1.32%,21.9
2026-03-18,0,219,0%,27.6
2026-03-19,0,213,0%,30.9
2026-03-20,0,225,0%,29.8
2026-03-21,0,234,0%,28.8
2026-03-22,2,206,0.97%,31
2026-03-23,2,232,0.86%,26.7
2026-03-24,1,199,0.5%,29.3
