Country,Clicks,Impressions,CTR,Position
United Kingdom,60,29702,0.2%,40.77
Pakistan,3,45,6.67%,30.02
United States,0,1145,0%,36.3
Brazil,0,364,0%,52.55
India,0,241,0%,42.14
Vietnam,0,181,0%,41.22
Spain,0,108,0%,33.32
Philippines,0,97,0%,37.38
Canada,0,94,0%,35.34
Thailand,0,81,0%,33.09
Germany,0,81,0%,35.44
Australia,0,79,0%,51.1
Italy,0,73,0%,43.23
Indonesia,0,68,0%,34.54
Turkey,0,64,0%,40.56
Egypt,0,64,0%,41.86
Saudi Arabia,0,64,0%,46.14
Argentina,0,59,0%,41.08
Mexico,0,59,0%,46.76
Colombia,0,45,0%,43.49
France,0,35,0%,23.26
South Korea,0,34,0%,44.85
Ireland,0,33,0%,35.33
Bangladesh,0,31,0%,37.23
Malaysia,0,29,0%,29.17
Poland,0,26,0%,34.35
Algeria,0,26,0%,43.12
Morocco,0,25,0%,38.12
Peru,0,24,0%,49.29
Oman,0,23,0%,39.61
Chile,0,23,0%,42.7
Portugal,0,22,0%,33.05
Ukraine,0,21,0%,38.52
Venezuela,0,20,0%,44.7
South Africa,0,20,0%,45.7
Ecuador,0,20,0%,48.35
Nigeria,0,18,0%,31.5
Netherlands,0,16,0%,27.19
New Zealand,0,15,0%,18.73
Dominican Republic,0,15,0%,39.47
Romania,0,14,0%,39.79
Taiwan,0,13,0%,44.92
Japan,0,12,0%,42.67
Bulgaria,0,12,0%,54.83
Kazakhstan,0,11,0%,40.18
Namibia,0,10,0%,11.5
Israel,0,10,0%,30.4
United Arab Emirates,0,10,0%,49.2
Sweden,0,9,0%,31.67
Guatemala,0,9,0%,36.56
Belgium,0,8,0%,31.12
Ethiopia,0,8,0%,52.25
Cambodia,0,7,0%,19.71
Singapore,0,7,0%,26.29
Georgia,0,7,0%,35.43
Norway,0,7,0%,39.14
Greece,0,7,0%,42.71
Czechia,0,7,0%,43.86
Bosnia & Herzegovina,0,7,0%,65.29
Moldova,0,6,0%,34.67
Paraguay,0,6,0%,46.5
Hungary,0,6,0%,50.17
Denmark,0,5,0%,15.6
Russia,0,5,0%,16.4
Jordan,0,5,0%,31.6
Azerbaijan,0,5,0%,44.8
Bolivia,0,5,0%,45.4
Serbia,0,5,0%,45.4
Honduras,0,5,0%,51
Tunisia,0,4,0%,36.5
Latvia,0,4,0%,38
Slovakia,0,4,0%,38.25
Uzbekistan,0,4,0%,38.25
Albania,0,4,0%,56.25
Kenya,0,4,0%,65
Switzerland,0,3,0%,4
China,0,3,0%,15
Austria,0,3,0%,22.67
Myanmar (Burma),0,3,0%,24
Palestine,0,3,0%,28.67
Malta,0,3,0%,30
Bahrain,0,3,0%,30.33
Jamaica,0,3,0%,33.67
Cyprus,0,3,0%,34
Trinidad & Tobago,0,3,0%,35
Croatia,0,3,0%,47.33
Mauritius,0,3,0%,52.67
Burkina Faso,0,3,0%,53.67
Sri Lanka,0,3,0%,57.67
Kosovo,0,3,0%,58
Panama,0,3,0%,58.67
Barbados,0,2,0%,8.5
Belarus,0,2,0%,10.5
Iran,0,2,0%,11.5
Benin,0,2,0%,21.5
Laos,0,2,0%,23
Ghana,0,2,0%,24
Macedonia,0,2,0%,37
Hong Kong,0,2,0%,44
Bahamas,0,2,0%,44.5
Zimbabwe,0,2,0%,45
Congo - Kinshasa,0,2,0%,47.5
Tonga,0,2,0%,47.5
Qatar,0,2,0%,48.5
Puerto Rico,0,2,0%,55
Kuwait,0,2,0%,62.5
Côte d’Ivoire,0,2,0%,72.5
Uruguay,0,2,0%,88
Angola,0,1,0%,1
Mongolia,0,1,0%,1
Cuba,0,1,0%,2
Vanuatu,0,1,0%,3
Finland,0,1,0%,4
Bermuda,0,1,0%,6
Guernsey,0,1,0%,6
Mauritania,0,1,0%,7
Iraq,0,1,0%,9
Gibraltar,0,1,0%,10
Jersey,0,1,0%,11
Nicaragua,0,1,0%,12
Armenia,0,1,0%,21
New Caledonia,0,1,0%,25
Senegal,0,1,0%,28
Mozambique,0,1,0%,33
El Salvador,0,1,0%,33
Estonia,0,1,0%,38
Rwanda,0,1,0%,39
Madagascar,0,1,0%,42
Gabon,0,1,0%,46
Lithuania,0,1,0%,47
Maldives,0,1,0%,48
French Guiana,0,1,0%,50
Tanzania,0,1,0%,56
Costa Rica,0,1,0%,61
Uganda,0,1,0%,64
Samoa,0,1,0%,74
Isle of Man,0,1,0%,75
Slovenia,0,1,0%,75
Aruba,0,1,0%,76
Libya,0,1,0%,80
Zambia,0,1,0%,83
Kyrgyzstan,0,1,0%,89
Malawi,0,1,0%,94
